country,region,in_ajr64,colonizer,religion,ever_colonized,protestant,catholic,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_2020,tfr_1960,tfr_2020,u5mr_1960,u5mr_2015,polity2_avg_1980_2010,polity2_avg_1995_2010,polity2_2015,crossing_year,edu_at_cross
Iraq,Middle East & North Africa,False,Britain,muslim,True,0,0,0.0,0.19,4.05,25.18,35.58,51.44,0.92,11.53,6.9056787063969285,8.346167223694868,51.462,69.651,5.3,3.419,192.0,29.5,-8.5,-7.666666666666667,6.0,2018.0,48.275999999999996
Ireland,Europe & Central Asia,False,,catholic,False,0,1,5.88,16.2,36.76,75.23,96.24,136.6,41.87,98.94,9.050613081285098,11.301314364512384,70.194268,82.456098,3.78,1.63,35.3,3.83,10.0,10.0,10.0,1974.0,72.72200000000001
Israel,Middle East & North Africa,False,Britain,jewish,True,0,0,4.42,18.8,46.99,76.27,87.02,104.39,45.51,73.07,9.081459992886012,10.543643768797875,,82.64878,3.866,2.9,40.1,3.92,6.096774193548387,6.0,6.0,1974.0,75.856
Italy,Europe & Central Asia,False,,catholic,False,0,1,7.46,13.64,27.08,75.5,96.44,109.68,23.61,81.8,9.183092112535586,10.29112125263415,69.123902,82.195122,2.4,1.24,52.0,3.43,10.0,10.0,10.0,1964.0,46.32
Jamaica,Latin America & Caribbean,True,Britain,protestant,True,1,0,1.81,7.36,22.16,57.5,89.74,95.88,21.92,59.36,,8.578822757518735,63.828,71.452,5.538,1.383,82.4,15.9,9.419354838709678,9.0,9.0,1984.0,78.85
Japan,East Asia & Pacific,False,,none,False,0,0,0.41,60.09,99.31,99.88,99.92,99.89,99.13,99.74,8.762313960908667,10.452850152125682,67.69561,84.56,2.0,1.33,39.7,3.02,10.0,10.0,10.0,1964.0,92.534
Jordan,Middle East & North Africa,False,Britain,protestant,True,1,0,0.03,0.6,9.32,54.82,62.06,101.58,4.06,15.71,,8.244565102085867,52.678,75.583,7.599,2.791,156.0,17.7,-4.483870967741935,-2.25,-3.0,2012.0,73.63
Kazakhstan,Europe & Central Asia,False,,muslim,False,0,0,16.74,41.78,56.1,97.57,99.03,99.06,53.73,84.83,,9.26530533581814,57.946,71.195,4.495,3.13,107.0,11.9,-5.4,-6.0,-6.0,2012.0,99.006
Kenya,Sub-Saharan Africa,True,Britain,protestant,True,1,0,0.12,0.93,5.75,26.3,60.22,70.34,2.35,9.63,6.6757702820242395,7.3835757954133125,48.477,61.596,7.651,3.364,198.0,46.3,-0.5161290322580645,4.9375,9.0,,
Kiribati,East Asia & Pacific,False,Britain,protestant,True,1,0,0.92,3.66,11.34,31.23,60.77,87.62,2.79,22.8,,7.482707016920135,47.958,65.205,6.441,3.254,195.0,57.5,,,,,
Kuwait,Middle East & North Africa,False,Britain,muslim,True,0,0,0.07,1.49,14.7,59.55,57.09,87.66,7.33,20.72,,10.14806134308298,59.203341,78.760976,7.223,2.033,145.0,8.56,-7.733333333333333,-7.0,-7.0,1989.0,57.856
Kyrgyzstan,Europe & Central Asia,False,,muslim,False,0,0,0.14,5.38,51.92,97.95,98.96,98.8,49.33,72.95,,6.996982051420082,55.028585,71.8,5.309,3.1,139.0,22.3,-1.2,-0.75,7.0,2012.0,98.56
Lao People's Democratic Republic,East Asia & Pacific,False,France,catholic,True,0,1,0.0,0.16,1.81,10.85,23.55,48.72,0.36,14.27,,7.835874271157032,41.036,68.339,6.292,2.535,254.0,53.6,-7.0,-7.0,-7.0,,
Latvia,Europe & Central Asia,False,,protestant,False,1,0,48.69,68.92,84.31,99.33,98.5,116.32,82.45,97.88,,9.609165455298584,69.786829,75.185366,1.94,1.55,39.0,4.97,8.0,8.0,8.0,1961.0,94.218
Lebanon,Middle East & North Africa,False,France,catholic,True,0,1,0.01,0.39,9.25,44.85,75.93,86.84,4.77,23.04,,8.770412449179233,63.927,76.299,5.877,2.308,75.8,8.3,2.25,6.0,6.0,1991.0,67.67200000000001
Lesotho,Sub-Saharan Africa,False,Britain,protestant,True,1,0,0.32,1.2,3.75,13.21,30.74,49.16,2.25,9.6,5.571166586638942,6.851009386161339,50.171,55.133,5.784,2.846,189.0,92.5,0.7741935483870968,6.9375,8.0,,
Liberia,Sub-Saharan Africa,False,,none,False,0,0,0.04,0.44,4.39,24.18,30.64,34.64,1.54,7.63,7.8015200742772945,6.405270564582365,38.073,61.267,6.391,4.174,314.0,78.9,-0.8064516129032258,2.4375,6.0,,
Lithuania,Europe & Central Asia,False,,catholic,False,0,1,0.92,12.6,44.1,98.88,97.97,125.87,39.25,88.25,,9.766731266270243,69.847317,75.029268,2.56,1.36,48.7,4.9,10.0,10.0,10.0,1960.0,70.18
Luxembourg,Europe & Central Asia,False,,catholic,False,0,1,10.96,22.73,46.89,74.9,90.41,119.14,35.3,99.94,10.234989167022276,11.564324101990548,68.800561,82.143902,2.29,1.36,37.5,2.64,10.0,10.0,10.0,1968.0,70.042
